Date,Open,High,Low,Close,Volume,Adj Close,clave_empresa
2006-08-28,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2006-08-29,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2006-08-30,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2006-08-31,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2006-09-01,4.99,4.99,4.99,4.99,0,4.99,ACCELSAB.MX
2006-09-04,4.99,4.99,4.99,4.99,200,4.99,ACCELSAB.MX
2006-09-05,4.99,4.99,4.99,4.99,0,4.99,ACCELSAB.MX
2006-09-06,4.99,4.99,4.99,4.99,0,4.99,ACCELSAB.MX
2006-09-07,4.99,4.99,4.99,4.99,0,4.99,ACCELSAB.MX
2006-09-08,4.99,4.99,4.99,4.99,0,4.99,ACCELSAB.MX
2006-09-11,4.99,4.99,4.99,4.99,0,4.99,ACCELSAB.MX
2006-09-12,4.99,4.99,4.99,4.99,0,4.99,ACCELSAB.MX
2006-09-13,4.99,4.99,4.3,4.3,0,4.3,ACCELSAB.MX
2006-09-14,4.99,4.99,4.3,4.3,0,4.3,ACCELSAB.MX
2006-09-15,4.3,4.3,4.3,4.3,0,4.3,ACCELSAB.MX
2006-09-18,4.3,4.3,4.3,4.3,0,4.3,ACCELSAB.MX
2006-09-19,4.3,4.3,4.3,4.3,0,4.3,ACCELSAB.MX
2006-09-20,4.3,4.3,4.3,4.3,0,4.3,ACCELSAB.MX
2006-09-21,4.3,4.3,4.3,4.3,0,4.3,ACCELSAB.MX
2006-09-22,4.3,4.3,4.3,4.3,0,4.3,ACCELSAB.MX
2006-09-25,4.3,4.3,4.3,4.3,0,4.3,ACCELSAB.MX
2006-09-26,4.3,4.3,4.3,4.3,0,4.3,ACCELSAB.MX
2006-09-27,4.3,4.3,4.3,4.3,0,4.3,ACCELSAB.MX
2006-09-28,4.3,4.3,4.3,4.3,0,4.3,ACCELSAB.MX
2006-09-29,4.3,4.3,4.3,4.3,0,4.3,ACCELSAB.MX
2006-10-02,4.3,4.3,4.3,4.3,0,4.3,ACCELSAB.MX
2006-10-03,4.99,4.99,4.99,4.99,0,4.99,ACCELSAB.MX
2006-10-04,4.6,4.6,4.6,4.6,0,4.6,ACCELSAB.MX
2006-10-05,4.6,4.6,4.6,4.6,0,4.6,ACCELSAB.MX
2006-10-06,4.6,4.6,4.6,4.6,0,4.6,ACCELSAB.MX
2006-10-09,4.6,4.6,4.6,4.6,0,4.6,ACCELSAB.MX
2006-10-10,4.6,4.6,4.6,4.6,0,4.6,ACCELSAB.MX
2006-10-11,4.99,4.99,4.99,4.99,0,4.99,ACCELSAB.MX
2006-10-12,4.99,4.99,3.9,3.9,0,3.9,ACCELSAB.MX
2006-10-13,4.9,4.9,3.8,3.8,0,3.8,ACCELSAB.MX
2006-10-16,4.6,4.6,4.6,4.6,0,4.6,ACCELSAB.MX
2006-10-17,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2006-10-18,4.89,4.89,4.89,4.89,0,4.89,ACCELSAB.MX
2006-10-19,4.89,4.89,4.89,4.89,0,4.89,ACCELSAB.MX
2006-10-20,4.89,4.89,3.9,3.9,0,3.9,ACCELSAB.MX
2006-10-23,4.89,4.89,4.0,4.0,0,4.0,ACCELSAB.MX
2006-10-24,4.89,4.89,4.0,4.0,0,4.0,ACCELSAB.MX
2006-10-25,4.89,4.89,4.0,4.0,0,4.0,ACCELSAB.MX
2006-10-26,4.89,4.89,4.0,4.0,0,4.0,ACCELSAB.MX
2006-10-27,4.89,4.89,4.0,4.0,0,4.0,ACCELSAB.MX
2006-10-30,4.89,4.89,4.89,4.89,0,4.89,ACCELSAB.MX
2006-10-31,4.99,4.99,4.99,4.99,0,4.99,ACCELSAB.MX
2006-11-01,4.6,4.6,4.6,4.6,0,4.6,ACCELSAB.MX
2006-11-02,4.6,4.6,4.6,4.6,0,4.6,ACCELSAB.MX
2006-11-03,4.99,4.99,4.99,4.99,0,4.99,ACCELSAB.MX
2006-11-06,4.74,4.74,4.74,4.74,0,4.74,ACCELSAB.MX
2006-11-07,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-08,4.65,4.65,4.0,4.0,0,4.0,ACCELSAB.MX
2006-11-09,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-10,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-13,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-14,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-15,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-16,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-17,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-20,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-21,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-22,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-23,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-24,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-27,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-28,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-11-29,4.79,4.79,4.79,4.79,0,4.79,ACCELSAB.MX
2006-11-30,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-12-01,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-12-04,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-12-05,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-12-06,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-12-07,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-12-08,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-12-11,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-12-12,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-12-13,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2006-12-14,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2006-12-15,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2006-12-18,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2006-12-19,4.9,4.9,4.9,4.9,300,4.9,ACCELSAB.MX
2006-12-20,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2006-12-21,4.8,4.8,4.8,4.8,0,4.8,ACCELSAB.MX
2006-12-22,4.8,4.8,4.8,4.8,0,4.8,ACCELSAB.MX
2006-12-25,4.8,4.8,4.8,4.8,0,4.8,ACCELSAB.MX
2006-12-26,4.8,4.8,4.8,4.8,0,4.8,ACCELSAB.MX
2006-12-27,4.79,4.79,4.79,4.79,0,4.79,ACCELSAB.MX
2006-12-28,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2006-12-29,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-01,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-02,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-03,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-04,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-05,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-08,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-09,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2007-01-10,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-11,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-12,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-15,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-16,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-17,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-18,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2007-01-19,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-22,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2007-01-23,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2007-01-24,4.5,4.5,4.5,4.5,0,4.5,ACCELSAB.MX
2007-01-25,4.9,4.9,4.9,4.9,5100,4.9,ACCELSAB.MX
2007-01-26,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-01-29,4.8,4.8,4.75,4.75,0,4.75,ACCELSAB.MX
2007-01-30,4.8,4.9,4.8,4.9,13100,4.9,ACCELSAB.MX
2007-01-31,4.75,4.9,4.75,4.9,3200,4.9,ACCELSAB.MX
2007-02-01,4.9,4.9,4.9,4.9,200,4.9,ACCELSAB.MX
2007-02-02,4.9,4.9,4.75,4.75,0,4.75,ACCELSAB.MX
2007-02-05,4.75,4.75,4.75,4.75,0,4.75,ACCELSAB.MX
2007-02-06,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-02-07,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-02-08,4.9,4.9,4.7,4.7,0,4.7,ACCELSAB.MX
2007-02-09,4.9,4.9,4.9,4.9,18400,4.9,ACCELSAB.MX
2007-02-12,4.9,4.9,4.9,4.9,0,4.9,ACCELSAB.MX
2007-02-13,4.9,4.9,4.9,4.9,100,4.9,ACCELSAB.MX
2007-02-14,4.6,5.6,4.6,5.0,136500,5.0,ACCELSAB.MX
2007-02-15,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2007-02-16,7.5,7.5,7.5,7.5,0,7.5,ACCELSAB.MX
2007-02-19,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2007-02-20,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2007-02-21,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2007-02-22,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2007-02-23,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2007-02-26,5.0,5.0,5.0,5.0,15000,5.0,ACCELSAB.MX
2007-02-27,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2007-02-28,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2007-03-01,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2007-03-02,5.0,5.0,5.0,5.0,0,5.0,ACCELSAB.MX
2007-03-05,5.2,5.2,5.2,5.2,1200,5.2,ACCELSAB.MX
2007-03-06,5.2,5.2,5.2,5.2,0,5.2,ACCELSAB.MX
2007-03-07,6.5,6.5,6.5,6.5,0,6.5,ACCELSAB.MX
2007-03-08,6.5,6.5,6.5,6.5,0,6.5,ACCELSAB.MX
2007-03-09,6.5,6.5,5.2,5.2,0,5.2,ACCELSAB.MX
2007-03-12,5.2,5.2,5.2,5.2,0,5.2,ACCELSAB.MX
2007-03-13,5.2,5.2,5.2,5.2,0,5.2,ACCELSAB.MX
2007-03-14,5.2,5.4,5.2,5.4,85000,5.4,ACCELSAB.MX
2007-03-15,5.5,5.6,5.5,5.6,14000,5.6,ACCELSAB.MX
2007-03-16,5.5,5.5,4.5,4.5,0,4.5,ACCELSAB.MX
2007-03-19,4.5,4.5,4.5,4.5,0,4.5,ACCELSAB.MX
2007-03-20,5.6,5.6,5.6,5.6,0,5.6,ACCELSAB.MX
2007-03-21,5.6,5.6,5.6,5.6,0,5.6,ACCELSAB.MX
2007-03-22,5.6,5.6,5.6,5.6,0,5.6,ACCELSAB.MX
2007-03-23,5.6,5.6,5.6,5.6,0,5.6,ACCELSAB.MX
2007-03-26,5.7,5.7,5.7,5.7,100,5.7,ACCELSAB.MX
2007-03-27,5.7,5.7,5.7,5.7,0,5.7,ACCELSAB.MX
2007-03-28,5.7,5.7,5.7,5.7,0,5.7,ACCELSAB.MX
2007-03-29,5.9,5.9,5.9,5.9,100,5.9,ACCELSAB.MX
2007-03-30,6.2,6.2,5.9,5.9,0,5.9,ACCELSAB.MX
2007-04-02,5.9,5.9,5.9,5.9,0,5.9,ACCELSAB.MX
2007-04-03,5.9,5.9,5.9,5.9,0,5.9,ACCELSAB.MX
2007-04-04,5.9,5.9,5.9,5.9,0,5.9,ACCELSAB.MX
2007-04-05,5.9,5.9,5.9,5.9,0,5.9,ACCELSAB.MX
2007-04-06,5.9,5.9,5.9,5.9,0,5.9,ACCELSAB.MX
2007-04-09,7.9,7.9,7.9,7.9,0,7.9,ACCELSAB.MX
2007-04-10,7.9,7.9,7.9,7.9,0,7.9,ACCELSAB.MX
2007-04-11,7.9,7.9,7.9,7.9,0,7.9,ACCELSAB.MX
2007-04-12,7.9,7.9,7.9,7.9,0,7.9,ACCELSAB.MX
2007-04-13,7.9,7.9,7.9,7.9,0,7.9,ACCELSAB.MX
2007-04-16,6.1,6.1,5.9,5.9,0,5.9,ACCELSAB.MX
2007-04-17,7.9,7.9,5.9,5.9,0,5.9,ACCELSAB.MX
2007-04-18,6.4,6.4,6.4,6.4,483900,6.4,ACCELSAB.MX
2007-04-19,7.9,7.9,5.9,5.9,0,5.9,ACCELSAB.MX
2007-04-20,7.9,7.9,7.9,7.9,0,7.9,ACCELSAB.MX
2007-04-23,6.54,6.54,6.54,6.54,0,6.54,ACCELSAB.MX
2007-04-24,7.9,7.9,7.9,7.9,0,7.9,ACCELSAB.MX
2007-04-25,7.9,7.9,7.9,7.9,0,7.9,ACCELSAB.MX
2007-04-26,7.9,7.9,7.9,7.9,0,7.9,ACCELSAB.MX
2007-04-27,7.9,7.9,7.9,7.9,0,7.9,ACCELSAB.MX
2007-04-30,7.0,7.0,7.0,7.0,0,7.0,ACCELSAB.MX
2007-05-01,7.0,7.0,7.0,7.0,0,7.0,ACCELSAB.MX
2007-05-02,7.9,7.9,7.9,7.9,0,7.9,ACCELSAB.MX
2007-05-03,6.5,6.5,6.5,6.5,0,6.5,ACCELSAB.MX
2007-05-04,6.5,6.5,6.5,6.5,0,6.5,ACCELSAB.MX
2007-05-07,6.5,6.5,6.5,6.5,2500,6.5,ACCELSAB.MX
2007-05-08,6.5,6.5,6.5,6.5,0,6.5,ACCELSAB.MX
2007-05-09,6.6,6.6,6.6,6.6,5000,6.6,ACCELSAB.MX
2007-05-10,6.6,6.6,6.6,6.6,0,6.6,ACCELSAB.MX
2007-05-11,6.59,6.7,6.59,6.7,10300,6.7,ACCELSAB.MX
2007-05-14,6.7,6.7,6.7,6.7,700,6.7,ACCELSAB.MX
2007-05-15,7.5,7.5,6.7,6.7,0,6.7,ACCELSAB.MX
2007-05-16,7.5,7.5,6.7,6.7,0,6.7,ACCELSAB.MX
2007-05-17,7.9,7.9,6.7,6.7,0,6.7,ACCELSAB.MX
2007-05-18,7.0,7.0,6.7,6.7,0,6.7,ACCELSAB.MX
2007-05-21,6.7,6.7,6.7,6.7,0,6.7,ACCELSAB.MX
2007-05-22,6.7,6.7,6.7,6.7,0,6.7,ACCELSAB.MX
2007-05-23,7.6,7.6,6.7,6.7,0,6.7,ACCELSAB.MX
2007-05-24,8.9,8.9,6.7,6.7,0,6.7,ACCELSAB.MX
2007-05-25,8.9,8.9,6.7,6.7,0,6.7,ACCELSAB.MX
2007-05-28,8.9,8.9,6.7,6.7,0,6.7,ACCELSAB.MX
2007-05-29,8.9,8.9,6.7,6.7,0,6.7,ACCELSAB.MX
2007-05-30,6.7,6.7,6.7,6.7,5600,6.7,ACCELSAB.MX
2007-05-31,6.7,6.7,6.7,6.7,200,6.7,ACCELSAB.MX
2007-06-01,7.2,7.2,7.2,7.2,5000,7.2,ACCELSAB.MX
2007-06-04,7.5,7.5,7.2,7.3,12400,7.3,ACCELSAB.MX
2007-06-05,8.9,8.9,6.7,6.7,0,6.7,ACCELSAB.MX
2007-06-06,8.9,8.9,6.7,6.7,0,6.7,ACCELSAB.MX
2007-06-07,7.4,7.4,7.4,7.4,5000,7.4,ACCELSAB.MX
2007-06-08,8.9,8.9,7.0,7.0,0,7.0,ACCELSAB.MX
2007-06-11,7.7,7.7,7.3,7.3,0,7.3,ACCELSAB.MX
2007-06-12,7.4,7.4,7.4,7.4,0,7.4,ACCELSAB.MX
2007-06-13,7.0,7.7,7.0,7.7,8800,7.7,ACCELSAB.MX
2007-06-14,7.65,7.7,7.65,7.7,5100,7.7,ACCELSAB.MX
2007-06-15,8.0,8.0,7.6,7.6,0,7.6,ACCELSAB.MX
2007-06-18,7.8,7.9,7.8,7.9,20000,7.9,ACCELSAB.MX
2007-06-19,8.0,8.0,7.6,7.6,0,7.6,ACCELSAB.MX
2007-06-20,8.0,8.0,7.5,7.5,0,7.5,ACCELSAB.MX
2007-06-21,8.0,8.0,8.0,8.0,1000,8.0,ACCELSAB.MX
2007-06-22,8.0,8.0,8.0,8.0,1000,8.0,ACCELSAB.MX
2007-06-25,8.5,8.5,8.5,8.5,0,8.5,ACCELSAB.MX
2007-06-26,8.5,8.5,8.5,8.5,0,8.5,ACCELSAB.MX
2007-06-27,8.5,8.5,8.5,8.5,0,8.5,ACCELSAB.MX
2007-06-28,8.5,8.5,8.5,8.5,0,8.5,ACCELSAB.MX
2007-06-29,8.5,8.5,8.5,8.5,0,8.5,ACCELSAB.MX
2007-07-02,8.5,8.5,8.5,8.5,0,8.5,ACCELSAB.MX
2007-07-03,8.0,8.0,8.0,8.0,0,8.0,ACCELSAB.MX
2007-07-04,8.0,8.0,8.0,8.0,3000,8.0,ACCELSAB.MX
2007-07-05,9.9,9.9,9.9,9.9,0,9.9,ACCELSAB.MX
2007-07-06,8.0,8.0,8.0,8.0,0,8.0,ACCELSAB.MX
2007-07-09,9.9,9.9,8.0,8.0,0,8.0,ACCELSAB.MX
2007-07-10,9.9,9.9,8.0,8.0,0,8.0,ACCELSAB.MX
2007-07-11,8.0,8.0,8.0,8.0,0,8.0,ACCELSAB.MX
2007-07-12,9.9,9.9,8.0,8.0,0,8.0,ACCELSAB.MX
2007-07-13,8.75,8.75,8.25,8.75,30000,8.75,ACCELSAB.MX
2007-07-16,9.2,9.2,9.2,9.2,0,9.2,ACCELSAB.MX
2007-07-17,10.0,10.0,10.0,10.0,0,10.0,ACCELSAB.MX
2007-07-18,10.0,10.0,10.0,10.0,0,10.0,ACCELSAB.MX
2007-07-19,9.0,9.0,9.0,9.0,1000,9.0,ACCELSAB.MX
2007-07-20,9.95,9.95,9.0,9.0,0,9.0,ACCELSAB.MX
2007-07-23,10.0,10.0,9.0,9.0,0,9.0,ACCELSAB.MX
2007-07-24,10.0,10.0,9.0,9.0,0,9.0,ACCELSAB.MX
2007-07-25,10.0,10.0,9.0,9.0,0,9.0,ACCELSAB.MX
2007-07-26,9.0,9.0,9.0,9.0,3000,9.0,ACCELSAB.MX
2007-07-27,9.0,9.0,9.0,9.0,0,9.0,ACCELSAB.MX
2007-07-30,9.0,9.0,9.0,9.0,0,9.0,ACCELSAB.MX
2007-07-31,9.0,9.0,9.0,9.0,0,9.0,ACCELSAB.MX
2007-08-01,9.0,9.0,9.0,9.0,0,9.0,ACCELSAB.MX
2007-08-02,9.0,9.0,9.0,9.0,0,9.0,ACCELSAB.MX
2007-08-03,9.0,9.0,9.0,9.0,0,9.0,ACCELSAB.MX
2007-08-06,9.1,9.1,9.1,9.1,0,9.1,ACCELSAB.MX
2007-08-07,9.1,9.1,9.1,9.1,1000,9.1,ACCELSAB.MX
2007-08-08,9.1,9.1,9.1,9.1,0,9.1,ACCELSAB.MX
2007-08-09,9.1,9.1,9.1,9.1,0,9.1,ACCELSAB.MX
2007-08-10,9.1,9.1,9.1,9.1,0,9.1,ACCELSAB.MX
2007-08-13,9.1,9.1,9.1,9.1,100,9.1,ACCELSAB.MX
2007-08-14,9.1,9.1,9.1,9.1,0,9.1,ACCELSAB.MX
2007-08-15,9.1,9.1,9.1,9.1,400,9.1,ACCELSAB.MX
2007-08-16,9.1,9.1,9.1,9.1,0,9.1,ACCELSAB.MX
2007-08-17,9.1,9.1,9.1,9.1,0,9.1,ACCELSAB.MX
2007-08-20,9.1,9.1,9.1,9.1,0,9.1,ACCELSAB.MX
2007-08-21,9.1,9.1,9.1,9.1,0,9.1,ACCELSAB.MX
2007-08-22,9.1,9.1,9.1,9.1,0,9.1,ACCELSAB.MX
2007-08-23,9.1,9.1,9.1,9.1,0,9.1,ACCELSAB.MX
2007-08-24,9.1,9.1,9.1,9.1,0,9.1,ACCELSAB.MX
2007-08-27,10.3,10.3,10.3,10.3,0,10.3,ACCELSAB.MX
2007-08-28,10.3,10.3,10.3,10.3,0,10.3,ACCELSAB.MX
2007-08-29,10.0,10.0,10.0,10.0,100,10.0,ACCELSAB.MX
2007-08-30,10.0,10.0,10.0,10.0,0,10.0,ACCELSAB.MX
2007-08-31,9.99,9.99,9.99,9.99,0,9.99,ACCELSAB.MX
2007-09-03,10.0,10.0,9.29,9.29,0,9.29,ACCELSAB.MX
2007-09-04,9.99,10.0,9.99,10.0,20400,10.0,ACCELSAB.MX
2007-09-05,9.29,10.1,9.29,10.1,2700,10.1,ACCELSAB.MX
2007-09-06,10.09,10.09,10.09,10.09,0,10.09,ACCELSAB.MX
2007-09-07,10.09,10.09,10.09,10.09,0,10.09,ACCELSAB.MX
2007-09-10,10.1,10.1,10.1,10.1,0,10.1,ACCELSAB.MX
2007-09-11,10.1,10.1,10.1,10.1,0,10.1,ACCELSAB.MX
2007-09-12,10.1,10.1,10.1,10.1,0,10.1,ACCELSAB.MX
2007-09-13,10.1,10.1,10.1,10.1,0,10.1,ACCELSAB.MX
2007-09-14,10.1,10.1,10.1,10.1,0,10.1,ACCELSAB.MX
2007-09-17,10.1,10.1,10.1,10.1,0,10.1,ACCELSAB.MX
2007-09-18,10.5,10.5,10.5,10.5,3000,10.5,ACCELSAB.MX
2007-09-19,11.0,11.0,11.0,11.0,0,11.0,ACCELSAB.MX
2007-09-20,11.0,11.0,11.0,11.0,0,11.0,ACCELSAB.MX
2007-09-21,10.5,11.0,10.5,11.0,1600,11.0,ACCELSAB.MX
2007-09-24,10.9,11.0,10.9,11.0,2400,11.0,ACCELSAB.MX
2007-09-25,11.0,11.0,11.0,11.0,0,11.0,ACCELSAB.MX
2007-09-26,11.0,11.0,11.0,11.0,20900,11.0,ACCELSAB.MX
2007-09-27,11.0,11.0,11.0,11.0,0,11.0,ACCELSAB.MX
2007-09-28,11.0,11.0,11.0,11.0,0,11.0,ACCELSAB.MX
2007-10-01,11.0,11.0,10.5,10.5,0,10.5,ACCELSAB.MX
2007-10-02,11.0,11.9,11.0,11.9,7900,11.9,ACCELSAB.MX
2007-10-03,11.0,11.9,11.0,11.9,10800,11.9,ACCELSAB.MX
2007-10-04,11.9,11.9,11.8,11.8,0,11.8,ACCELSAB.MX
2007-10-05,11.8,11.9,11.8,11.9,2000,11.9,ACCELSAB.MX
2007-10-08,11.9,11.9,11.9,11.9,0,11.9,ACCELSAB.MX
2007-10-09,11.9,11.9,11.9,11.9,10000,11.9,ACCELSAB.MX
2007-10-10,12.5,12.5,12.5,12.5,0,12.5,ACCELSAB.MX
2007-10-11,12.5,12.5,12.5,12.5,1000,12.5,ACCELSAB.MX
2007-10-12,12.45,12.45,12.45,12.45,1000,12.45,ACCELSAB.MX
2007-10-15,12.8,12.8,12.8,12.8,0,12.8,ACCELSAB.MX
2007-10-16,12.75,12.75,12.75,12.75,0,12.75,ACCELSAB.MX
2007-10-17,12.4,12.8,12.4,12.8,4300,12.8,ACCELSAB.MX
2007-10-18,12.9,12.9,12.9,12.9,1000,12.9,ACCELSAB.MX
2007-10-19,12.8,12.8,12.8,12.8,0,12.8,ACCELSAB.MX
2007-10-22,12.97,12.97,12.97,12.97,100,12.97,ACCELSAB.MX
2007-10-23,12.9,12.9,12.9,12.9,100,12.9,ACCELSAB.MX
2007-10-24,12.89,12.89,12.89,12.89,0,12.89,ACCELSAB.MX
2007-10-25,12.89,12.89,12.89,12.89,0,12.89,ACCELSAB.MX
2007-10-26,12.89,12.89,12.5,12.5,24500,12.5,ACCELSAB.MX
2007-10-29,12.44,12.44,12.44,12.44,200,12.44,ACCELSAB.MX
2007-10-30,12.35,12.97,12.35,12.97,30000,12.97,ACCELSAB.MX
2007-10-31,12.97,12.97,12.97,12.97,500,12.97,ACCELSAB.MX
2007-11-01,12.8,12.8,12.8,12.8,0,12.8,ACCELSAB.MX
2007-11-02,12.8,12.8,12.8,12.8,0,12.8,ACCELSAB.MX
2007-11-05,12.97,12.97,12.97,12.97,0,12.97,ACCELSAB.MX
2007-11-06,12.97,12.97,12.97,12.97,0,12.97,ACCELSAB.MX
2007-11-07,12.4,12.4,12.4,12.4,0,12.4,ACCELSAB.MX
2007-11-08,12.97,12.97,12.97,12.97,0,12.97,ACCELSAB.MX
2007-11-09,12.7,12.7,12.7,12.7,0,12.7,ACCELSAB.MX
2007-11-12,12.7,12.7,12.7,12.7,0,12.7,ACCELSAB.MX
2007-11-13,12.7,12.7,12.7,12.7,0,12.7,ACCELSAB.MX
2007-11-14,12.7,12.7,12.7,12.7,0,12.7,ACCELSAB.MX
2007-11-15,12.7,12.7,12.7,12.7,0,12.7,ACCELSAB.MX
2007-11-16,12.69,12.69,12.69,12.69,0,12.69,ACCELSAB.MX
2007-11-19,12.69,12.69,12.69,12.69,0,12.69,ACCELSAB.MX
2007-11-20,12.69,12.69,12.69,12.69,0,12.69,ACCELSAB.MX
2007-11-21,12.7,12.7,12.7,12.7,0,12.7,ACCELSAB.MX
2007-11-22,12.7,12.7,12.7,12.7,0,12.7,ACCELSAB.MX
2007-11-23,12.7,12.7,12.7,12.7,0,12.7,ACCELSAB.MX
2007-11-26,12.7,12.7,12.7,12.7,0,12.7,ACCELSAB.MX
2007-11-27,12.7,12.7,12.7,12.7,0,12.7,ACCELSAB.MX
2007-11-28,12.6,12.6,12.6,12.6,352000,12.6,ACCELSAB.MX
2007-11-29,12.6,12.6,12.6,12.6,0,12.6,ACCELSAB.MX
2007-11-30,12.54,12.54,12.54,12.54,0,12.54,ACCELSAB.MX
2007-12-03,12.54,12.54,12.54,12.54,0,12.54,ACCELSAB.MX
2007-12-04,12.25,12.25,12.25,12.25,0,12.25,ACCELSAB.MX
2007-12-05,12.54,12.54,12.54,12.54,0,12.54,ACCELSAB.MX
2007-12-06,12.5,12.5,12.5,12.5,0,12.5,ACCELSAB.MX
2007-12-07,12.5,12.5,12.5,12.5,0,12.5,ACCELSAB.MX
2007-12-10,12.55,12.55,12.55,12.55,0,12.55,ACCELSAB.MX
2007-12-11,12.54,12.98,12.54,12.98,32000,12.98,ACCELSAB.MX
2007-12-12,12.98,12.98,12.98,12.98,0,12.98,ACCELSAB.MX
2007-12-13,12.6,12.6,12.6,12.6,0,12.6,ACCELSAB.MX
2007-12-14,12.6,12.6,12.6,12.6,0,12.6,ACCELSAB.MX
2007-12-17,12.97,12.97,12.97,12.97,0,12.97,ACCELSAB.MX
2007-12-18,12.97,12.97,12.97,12.97,0,12.97,ACCELSAB.MX
2007-12-19,12.97,12.97,12.97,12.97,0,12.97,ACCELSAB.MX
2007-12-20,12.97,12.97,12.97,12.97,0,12.97,ACCELSAB.MX
2007-12-21,12.98,12.98,12.98,12.98,0,12.98,ACCELSAB.MX
2007-12-24,12.98,12.98,12.98,12.98,0,12.98,ACCELSAB.MX
2007-12-25,12.98,12.98,12.98,12.98,0,12.98,ACCELSAB.MX
2007-12-26,12.97,12.97,12.97,12.97,300,12.97,ACCELSAB.MX
